"datatime","server name","server id","latency","jitter","packet loss","download","upload","download bytes","upload bytes","share url","download server count"
2022-05-21T21:45:04+02:00,"INNOVA-tel - Caltagirone","19305","16.696","1.247","N/A","2314573","2356383","30972056","29689920","https://www.speedtest.net/result/c/5fddbda3-3981-4a11-a562-eb7258019ab6","1"
2022-05-21T22:15:04+02:00,"INNOVA-tel - Caltagirone","19305","16.332","0.666","N/A","1577466","2445372","17470327","31390560","https://www.speedtest.net/result/c/edf27fa2-ccd7-4bcb-a5cd-f05d88a2f09e","1"
2022-05-22T08:00:03+02:00,"INNOVA-tel - Caltagirone","19305","16.672","0.964","N/A","1938166","1588769","28940204","19429920","https://www.speedtest.net/result/c/7b0d70e8-e318-41f9-b3fa-5021dc83283b","1"
2022-05-22T08:30:04+02:00,"WeLink - Niscemi","17474","21.824","0.773","0","1561663","1987218","22732332","27878844","https://www.speedtest.net/result/c/b9ac2aa7-56aa-4574-8ff1-14e05cba4c9f","1"
2022-05-22T09:00:04+02:00,"INNOVA-tel - Caltagirone","19305","12.648","0.799","N/A","2909229","2481320","21953059","9694080","https://www.speedtest.net/result/c/3dc4fb06-cf1e-49be-9fb1-e5f78fb620a2","1"
2022-05-22T09:30:04+02:00,"INNOVA-tel - Caltagirone","19305","14.258","0.854","N/A","1622156","1450160","23970553","16172640","https://www.speedtest.net/result/c/7cd292d9-c623-4098-b8cb-91bcf07b2e4c","1"
2022-05-22T10:00:04+02:00,"INNOVA-tel - Caltagirone","19305","15.413","2.169","N/A","2922694","2385806","24880441","10728000","https://www.speedtest.net/result/c/4acaddae-2c69-4cc6-b316-cfef30a5631b","1"
2022-05-22T10:30:04+02:00,"INNOVA-tel - Caltagirone","19305","46.086","6.604","N/A","975950","519932","11347342","6361920","https://www.speedtest.net/result/c/636578a2-e515-49bd-baac-1235e103e3e1","1"
2022-05-22T11:00:01+02:00,"INNOVA-tel - Caltagirone","19305","33.081","24.59","N/A","864116","1108210","9521772","10163520","https://www.speedtest.net/result/c/f67f6800-b42d-440c-be84-2cc7649b286d","1"
2022-05-22T11:30:04+02:00,"INNOVA-tel - Caltagirone","19305","16.973","1.051","N/A","1338522","2369215","8182325","27787680","https://www.speedtest.net/result/c/512c989b-a4a7-4604-a849-0e86c467fe38","1"
2022-05-22T12:00:04+02:00,"INNOVA-tel - Caltagirone","19305","16.682","2.76","N/A","2561234","2459315","14389022","19906560","https://www.speedtest.net/result/c/90ccd1ff-7a00-49af-a0fc-0d51f61b9179","1"
2022-05-22T12:30:04+02:00,"INNOVA-tel - Caltagirone","19305","16.759","2.231","N/A","2982123","2442975","38924928","10755360","https://www.speedtest.net/result/c/232f86ec-f652-4578-93e0-012fa2afa218","1"
2022-05-22T13:00:04+02:00,"INNOVA-tel - Caltagirone","19305","15.229","2.128","N/A","2361311","2360355","30716928","16215840","https://www.speedtest.net/result/c/009698ec-2282-495a-86cc-232a995dab13","1"
2022-05-22T13:30:04+02:00,"INNOVA-tel - Caltagirone","19305","17.169","4.861","N/A","2713411","2451682","28557183","20537280","https://www.speedtest.net/result/c/175e1abf-c1d4-4dc7-bf87-3b214b216213","1"
2022-05-22T14:00:04+02:00,"INNOVA-tel - Caltagirone","19305","16.537","12.663","N/A","1710444","2394535","25099513","24619680","https://www.speedtest.net/result/c/1eb751a4-09a2-4d51-9354-8db3007bd38a","1"
2022-05-22T14:30:04+02:00,"INNOVA-tel - Caltagirone","19305","14.042","5.311","N/A","2798241","2324223","28636358","25712640","https://www.speedtest.net/result/c/100b25c3-64d9-4f71-8260-cef5cd8520c1","1"
2022-05-22T15:00:04+02:00,"INNOVA-tel - Caltagirone","19305","14.72","1.211","N/A","2566214","2447343","32034764","21371040","https://www.speedtest.net/result/c/fa09ebbd-4f4c-4351-ac58-4485d37bf407","1"
2022-05-22T15:30:04+02:00,"INNOVA-tel - Caltagirone","19305","15.444","1.965","N/A","2633657","2486490","33199200","21022560","https://www.speedtest.net/result/c/f1fb60bd-5460-4fdf-8817-8688bf35fa63","1"
2022-05-22T16:00:04+02:00,"INNOVA-tel - Caltagirone","19305","14.558","1.524","N/A","2562136","2483196","30421664","22770720","https://www.speedtest.net/result/c/daa5edeb-a86c-4955-93db-9bc301cc0f72","1"
2022-05-22T16:30:04+02:00,"INNOVA-tel - Caltagirone","19305","15.239","1.556","N/A","2526989","2478306","34669664","8856000","https://www.speedtest.net/result/c/02f254a5-6349-4e68-a1fd-076a0d261bf2","1"
2022-05-22T17:00:04+02:00,"INNOVA-tel - Caltagirone","19305","13.84","1.038","N/A","2100068","2280798","23911424","23735520","https://www.speedtest.net/result/c/2a6d7601-42fd-4c4c-89ed-c93bb19326ee","1"
2022-05-22T17:30:04+02:00,"INNOVA-tel - Caltagirone","19305","15.543","2.024","N/A","2211607","2490735","31121280","16423200","https://www.speedtest.net/result/c/b50b4a48-8022-4eef-8bbc-80a244828d14","1"
2022-05-22T18:00:04+02:00,"INNOVA-tel - Caltagirone","19305","14.398","0.464","N/A","1843054","1505458","21296384","18090720","https://www.speedtest.net/result/c/8b286300-48dc-4f52-bc50-e8c6a1575f2f","1"
2022-05-22T18:30:04+02:00,"INNOVA-tel - Caltagirone","19305","13.929","1.489","N/A","2294646","2243656","11603999","11453760","https://www.speedtest.net/result/c/3c111e67-17c3-461c-95bf-3840f2833ace","1"
2022-05-22T19:00:04+02:00,"INNOVA-tel - Caltagirone","19305","16.419","4.743","N/A","2240194","1754440","11236600","22155840","https://www.speedtest.net/result/c/7fcf1e73-0493-4440-8dd3-7a1582c272dd","1"
2022-05-22T19:30:04+02:00,"INNOVA-tel - Caltagirone","19305","14.154","0.802","N/A","2440026","2437044","19316477","34872480","https://www.speedtest.net/result/c/6f799bd9-e745-4cb3-961a-ab9355115952","1"
2022-05-22T20:00:04+02:00,"INNOVA-tel - Caltagirone","19305","13.954","1.084","N/A","2176546","2298375","26650304","25146720","https://www.speedtest.net/result/c/9e4dab83-172f-4cb4-a314-91bf0245a077","1"
2022-05-22T20:30:04+02:00,"INNOVA-tel - Caltagirone","19305","14.936","10.929","N/A","2455255","2454545","26508960","9128160","https://www.speedtest.net/result/c/69fb71b5-59c9-401d-b189-83789fd57249","1"
2022-05-22T21:00:04+02:00,"INNOVA-tel - Caltagirone","19305","14.174","0.873","N/A","3354418","2426985","32523840","21568320","https://www.speedtest.net/result/c/3d0e89e1-11d9-42e7-b116-32d2d95a682d","1"
2022-05-23T08:00:04+02:00,"INNOVA-tel - Caltagirone","19305","14.295","0.836","N/A","2701921","2498710","33928358","9247680","https://www.speedtest.net/result/c/e5705666-ee1c-4b94-b739-c4276fe98636","1"
2022-05-23T08:30:05+02:00,"INNOVA-tel - Caltagirone","19305","14.454","2.033","N/A","2929891","2497982","33664861","20175840","https://www.speedtest.net/result/c/49f6c8fc-e131-4d2b-8dc8-ecd4908c9cf6","1"
2022-05-23T09:00:05+02:00,"INNOVA-tel - Caltagirone","19305","14.265","1.816","N/A","2878694","2468486","33906736","8900640","https://www.speedtest.net/result/c/94c589aa-fedc-4032-9953-cc97c597ca08","1"
2022-05-23T09:30:05+02:00,"INNOVA-tel - Caltagirone","19305","14.052","3.662","N/A","3185220","2451461","26546696","18502560","https://www.speedtest.net/result/c/6be3b345-393c-430f-847f-ef6487a8b4b9","1"
2022-05-23T10:00:04+02:00,"INNOVA-tel - Caltagirone","19305","14.403","1.693","N/A","2932675","2459944","31557891","34005600","https://www.speedtest.net/result/c/17050bb2-2cf3-41fe-811f-620b70da6081","1"
2022-05-23T10:30:05+02:00,"INNOVA-tel - Caltagirone","19305","14.149","3.315","N/A","3051100","2468337","24036738","15513120","https://www.speedtest.net/result/c/4b11537e-80b0-4646-b36e-144bbce21ae5","1"
2022-05-23T11:00:05+02:00,"INNOVA-tel - Caltagirone","19305","14.293","0.451","N/A","2994804","2461101","32131098","9360000","https://www.speedtest.net/result/c/b7260e3f-ca48-4bdd-8595-c1e962080cdf","1"
2022-05-23T11:30:05+02:00,"INNOVA-tel - Caltagirone","19305","14.517","5.696","N/A","3007928","2421577","31789687","23411520","https://www.speedtest.net/result/c/7580d534-882e-481f-9617-40368d708b84","1"
2022-05-23T12:00:04+02:00,"INNOVA-tel - Caltagirone","19305","13.462","1.04","N/A","3440120","2461779","46968737","8879040","https://www.speedtest.net/result/c/78b6f51f-95e8-4a98-b205-01261772b0a7","1"
2022-05-23T12:30:05+02:00,"INNOVA-tel - Caltagirone","19305","13.428","4.365","N/A","2897305","2419612","20992799","17435520","https://www.speedtest.net/result/c/4a33e2ba-080b-46b2-9c16-5b20c84d2085","1"
2022-05-23T13:00:05+02:00,"INNOVA-tel - Caltagirone","19305","14.136","0.605","N/A","2696222","2429103","31084368","9270720","https://www.speedtest.net/result/c/a4cc9267-b028-46c0-b147-67209fb9e504","1"
